X,Y,Speed,Angle,Altitude,Satellites,Timestamp
860143716,273736866,28,328,540,14,1.7046E+12
860143333,273737333,25,311,542,15,1.7046E+12
860142833,273737633,21,297,544,15,1.7046E+12
860141950,273737883,10,282,547,15,1.7046E+12
860141666,273737883,0,273,549,15,1.7046E+12
860140933,273737916,14,278,551,14,1.7046E+12
860139766,273737833,24,263,551,15,1.7046E+12
860137266,273737200,30,252,550,17,1.7046E+12
860133716,273735899,34,242,553,17,1.7046E+12
860130183,273733900,39,227,558,17,1.7046E+12
860128316,273731366,38,214,560,16,1.7046E+12
860125149,273727650,37,224,564,15,1.7046E+12
860122899,273725533,38,213,570,15,1.7046E+12
860122233,273723799,36,198,569,16,1.7046E+12
860120683,273719566,37,215,568,14,1.7046E+12
860119183,273718333,34,226,570,15,1.7046E+12
860117849,273717000,32,214,571,15,1.7046E+12
860117483,273716233,32,204,572,15,1.7046E+12
860116550,273713016,31,194,571,15,1.7046E+12
860115266,273708383,19,190,570,14,1.7046E+12
860115050,273707633,14,208,569,15,1.7046E+12
860114816,273707416,13,225,569,14,1.7046E+12
